Date,NAAIM,NAAIM_MA20,SP500_Price_x,SP500_Price_y
2008-11-12,15.06060606060606,17.789478834987243,,
2008-11-19,11.705882352941176,16.973384063745414,,
2008-11-26,9.666666666666666,17.355288825650177,,
2008-12-03,9.647058823529411,17.326830956015836,,
2008-12-10,3.6774193548387095,16.820076923757775,,
2008-12-17,14.428571428571429,16.913505495186346,,
2008-12-24,24.41176470588235,17.218942215328944,,
2008-12-31,22.05555555555556,16.65820647959321,,
2009-01-07,29.085714285714285,16.124256899761278,,
2009-01-14,26.51428571428572,15.94854261404699,,
2009-01-21,19.666666666666668,15.43593000143438,,
2009-01-28,20.223529411764705,15.031134249800393,,
2009-02-04,17.8,15.116848535514677,,
2009-02-11,24.142857142857142,15.36843583710198,,
2009-02-18,25.97297297297297,15.853669851604286,,
2009-02-25,13.352941176470589,16.66992802153893,,
2009-03-04,2.147058823529412,15.877280962715398,,
2009-03-11,4.228571428571429,15.670288481512392,,
2009-03-18,9.970588235294118,15.668817893277097,,
2009-03-25,47.75,17.57543554033592,,
2009-04-01,18.85483870967742,17.76514717278949,,
2009-04-08,35.303030303030305,18.945004570293946,,
2009-04-15,41.61111111111112,20.542226792516168,,
2009-04-22,22.666666666666668,21.19320718467303,,
2009-04-29,35.75757575757576,22.797215004809882,,
2009-05-06,33.18518518518518,23.73504569264057,,
2009-05-13,56.81578947368421,25.355246931030663,,
2009-05-20,50.41463414634146,26.773200860569954,,
2009-05-27,40.34146341463415,27.33598831701595,,
2009-06-03,51.46153846153846,28.583350954378584,,
2009-06-10,64.8125,30.840642621045255,,
2009-06-17,49.92307692307692,32.32561999661086,,
2009-06-24,27.97222222222222,32.834231107721976,,
2009-07-01,35.666666666666664,33.41042158391245,,
2009-07-08,21.64864864864865,33.194205367696235,,
2009-07-15,22.60606060606061,33.656861339175734,,
2009-07-22,37.37837837837838,35.41842731691819,,
2009-07-29,37.41176470588236,37.077586980783735,,
2009-08-05,69.0,40.02905756901903,,
2009-08-12,51.5625,40.21968256901903,,
2009-08-19,31.216216216216218,40.83775144434597,,
2009-08-26,55.21212121212121,41.83320598980051,,
2009-09-02,54.70967741935484,42.4881343052127,,
2009-09-09,63.06060606060606,44.50783127490966,,
2009-09-16,68.0,46.11995248703088,,
2009-09-23,80.63888888888889,48.49263767221606,,
2009-09-30,86.4090909090909,49.972302743986404,,
